run_id,message_id,device_id,payload_number,send_timestamp_ns,payload_size_bytes,published_by_client
20260618_170014_546336,20260618_170014_546336-002-01,002,1,1781776814620353600,145,1
20260618_170014_546336,20260618_170014_546336-002-02,002,2,1781776814627039000,144,1
20260618_170014_546336,20260618_170014_546336-002-03,002,3,1781776814633670100,144,1
20260618_170014_546336,20260618_170014_546336-002-04,002,4,1781776814639855000,144,1
20260618_170014_546336,20260618_170014_546336-002-05,002,5,1781776814646207500,143,1
20260618_170014_546336,20260618_170014_546336-002-06,002,6,1781776814652188900,144,1
20260618_170014_546336,20260618_170014_546336-002-07,002,7,1781776814658656100,145,1
20260618_170014_546336,20260618_170014_546336-002-08,002,8,1781776814664763300,144,1
20260618_170014_546336,20260618_170014_546336-002-09,002,9,1781776814671399300,143,1
20260618_170014_546336,20260618_170014_546336-002-10,002,10,1781776814677073200,144,1
20260618_170014_546336,20260618_170014_546336-003-01,003,1,1781776814682998000,145,1
20260618_170014_546336,20260618_170014_546336-003-02,003,2,1781776814688758000,145,1
20260618_170014_546336,20260618_170014_546336-003-03,003,3,1781776814694703600,144,1
20260618_170014_546336,20260618_170014_546336-003-04,003,4,1781776814700728100,144,1
20260618_170014_546336,20260618_170014_546336-003-05,003,5,1781776814706536900,145,1
20260618_170014_546336,20260618_170014_546336-003-06,003,6,1781776814712219100,143,1
20260618_170014_546336,20260618_170014_546336-003-07,003,7,1781776814718945800,144,1
20260618_170014_546336,20260618_170014_546336-003-08,003,8,1781776814725400900,144,1
20260618_170014_546336,20260618_170014_546336-003-09,003,9,1781776814731972300,145,1
20260618_170014_546336,20260618_170014_546336-003-10,003,10,1781776814738844900,143,1
20260618_170014_546336,20260618_170014_546336-004-01,004,1,1781776814745762400,144,1
20260618_170014_546336,20260618_170014_546336-004-02,004,2,1781776814752094400,144,1
20260618_170014_546336,20260618_170014_546336-004-03,004,3,1781776814758306500,142,1
20260618_170014_546336,20260618_170014_546336-004-04,004,4,1781776814764252000,144,1
20260618_170014_546336,20260618_170014_546336-004-05,004,5,1781776814770871200,145,1
20260618_170014_546336,20260618_170014_546336-004-06,004,6,1781776814776739400,143,1
20260618_170014_546336,20260618_170014_546336-004-07,004,7,1781776814782636000,145,1
20260618_170014_546336,20260618_170014_546336-004-08,004,8,1781776814789570600,145,1
20260618_170014_546336,20260618_170014_546336-004-09,004,9,1781776814796064400,145,1
20260618_170014_546336,20260618_170014_546336-004-10,004,10,1781776814801716800,145,1
20260618_170014_546336,20260618_170014_546336-005-01,005,1,1781776814808079900,144,1
20260618_170014_546336,20260618_170014_546336-005-02,005,2,1781776814813637500,145,1
20260618_170014_546336,20260618_170014_546336-005-03,005,3,1781776814820591300,144,1
20260618_170014_546336,20260618_170014_546336-005-04,005,4,1781776814826564700,143,1
20260618_170014_546336,20260618_170014_546336-005-05,005,5,1781776814832615700,144,1
20260618_170014_546336,20260618_170014_546336-005-06,005,6,1781776814838660200,145,1
20260618_170014_546336,20260618_170014_546336-005-07,005,7,1781776814844524400,145,1
20260618_170014_546336,20260618_170014_546336-005-08,005,8,1781776814850915100,145,1
20260618_170014_546336,20260618_170014_546336-005-09,005,9,1781776814857046300,144,1
20260618_170014_546336,20260618_170014_546336-005-10,005,10,1781776814862915100,144,1
20260618_170014_546336,20260618_170014_546336-006-01,006,1,1781776814869196700,145,1
20260618_170014_546336,20260618_170014_546336-006-02,006,2,1781776814875226000,144,1
20260618_170014_546336,20260618_170014_546336-006-03,006,3,1781776814880898800,144,1
20260618_170014_546336,20260618_170014_546336-006-04,006,4,1781776814886708300,143,1
20260618_170014_546336,20260618_170014_546336-006-05,006,5,1781776814892417800,144,1
20260618_170014_546336,20260618_170014_546336-006-06,006,6,1781776814897948800,144,1
20260618_170014_546336,20260618_170014_546336-006-07,006,7,1781776814904192900,144,1
20260618_170014_546336,20260618_170014_546336-006-08,006,8,1781776814910122500,145,1
20260618_170014_546336,20260618_170014_546336-006-09,006,9,1781776814916017600,145,1
20260618_170014_546336,20260618_170014_546336-006-10,006,10,1781776814921681800,145,1
20260618_170014_546336,20260618_170014_546336-007-01,007,1,1781776814927511600,144,1
20260618_170014_546336,20260618_170014_546336-007-02,007,2,1781776814933324200,144,1
20260618_170014_546336,20260618_170014_546336-007-03,007,3,1781776814939098700,144,1
20260618_170014_546336,20260618_170014_546336-007-04,007,4,1781776814944923200,144,1
20260618_170014_546336,20260618_170014_546336-007-05,007,5,1781776814951436400,143,1
20260618_170014_546336,20260618_170014_546336-007-06,007,6,1781776814957451300,144,1
20260618_170014_546336,20260618_170014_546336-007-07,007,7,1781776814963289500,145,1
20260618_170014_546336,20260618_170014_546336-007-08,007,8,1781776814969243900,144,1
20260618_170014_546336,20260618_170014_546336-007-09,007,9,1781776814974824700,145,1
20260618_170014_546336,20260618_170014_546336-007-10,007,10,1781776814980828500,145,1
20260618_170014_546336,20260618_170014_546336-008-01,008,1,1781776814987239500,144,1
20260618_170014_546336,20260618_170014_546336-008-02,008,2,1781776814993415500,143,1
20260618_170014_546336,20260618_170014_546336-008-03,008,3,1781776814999647800,145,1
20260618_170014_546336,20260618_170014_546336-008-04,008,4,1781776815005904000,144,1
20260618_170014_546336,20260618_170014_546336-008-05,008,5,1781776815012923900,145,1
20260618_170014_546336,20260618_170014_546336-008-06,008,6,1781776815018685300,145,1
20260618_170014_546336,20260618_170014_546336-008-07,008,7,1781776815024440300,143,1
20260618_170014_546336,20260618_170014_546336-008-08,008,8,1781776815030489600,145,1
20260618_170014_546336,20260618_170014_546336-008-09,008,9,1781776815037451100,143,1
20260618_170014_546336,20260618_170014_546336-008-10,008,10,1781776815043330100,145,1
20260618_170014_546336,20260618_170014_546336-009-01,009,1,1781776815049604400,145,1
20260618_170014_546336,20260618_170014_546336-009-02,009,2,1781776815056526800,144,1
20260618_170014_546336,20260618_170014_546336-009-03,009,3,1781776815062462400,145,1
20260618_170014_546336,20260618_170014_546336-009-04,009,4,1781776815068400300,142,1
20260618_170014_546336,20260618_170014_546336-009-05,009,5,1781776815074293600,144,1
20260618_170014_546336,20260618_170014_546336-009-06,009,6,1781776815080169900,143,1
20260618_170014_546336,20260618_170014_546336-009-07,009,7,1781776815086060800,145,1
20260618_170014_546336,20260618_170014_546336-009-08,009,8,1781776815092023900,141,1
20260618_170014_546336,20260618_170014_546336-009-09,009,9,1781776815097986000,144,1
20260618_170014_546336,20260618_170014_546336-009-10,009,10,1781776815104028400,145,1
20260618_170014_546336,20260618_170014_546336-010-01,010,1,1781776815109618400,145,1
20260618_170014_546336,20260618_170014_546336-010-02,010,2,1781776815115388700,143,1
20260618_170014_546336,20260618_170014_546336-010-03,010,3,1781776815121150000,143,1
20260618_170014_546336,20260618_170014_546336-010-04,010,4,1781776815126657400,145,1
20260618_170014_546336,20260618_170014_546336-010-05,010,5,1781776815132418300,144,1
20260618_170014_546336,20260618_170014_546336-010-06,010,6,1781776815138312200,144,1
20260618_170014_546336,20260618_170014_546336-010-07,010,7,1781776815144116500,144,1
20260618_170014_546336,20260618_170014_546336-010-08,010,8,1781776815149760400,144,1
20260618_170014_546336,20260618_170014_546336-010-09,010,9,1781776815155618200,144,1
20260618_170014_546336,20260618_170014_546336-010-10,010,10,1781776815161241500,145,1
20260618_170014_546336,20260618_170014_546336-011-01,011,1,1781776815167455800,143,1
20260618_170014_546336,20260618_170014_546336-011-02,011,2,1781776815173343400,145,1
20260618_170014_546336,20260618_170014_546336-011-03,011,3,1781776815179644000,145,1
20260618_170014_546336,20260618_170014_546336-011-04,011,4,1781776815185820400,143,1
20260618_170014_546336,20260618_170014_546336-011-05,011,5,1781776815192135000,144,1
20260618_170014_546336,20260618_170014_546336-011-06,011,6,1781776815198608400,145,1
20260618_170014_546336,20260618_170014_546336-011-07,011,7,1781776815204889500,142,1
20260618_170014_546336,20260618_170014_546336-011-08,011,8,1781776815211810800,145,1
20260618_170014_546336,20260618_170014_546336-011-09,011,9,1781776815217493000,144,1
20260618_170014_546336,20260618_170014_546336-011-10,011,10,1781776815223186400,145,1
20260618_170014_546336,20260618_170014_546336-012-01,012,1,1781776815229471800,144,1
20260618_170014_546336,20260618_170014_546336-012-02,012,2,1781776815235534000,145,1
20260618_170014_546336,20260618_170014_546336-012-03,012,3,1781776815241634900,145,1
20260618_170014_546336,20260618_170014_546336-012-04,012,4,1781776815247580600,143,1
20260618_170014_546336,20260618_170014_546336-012-05,012,5,1781776815253762000,144,1
20260618_170014_546336,20260618_170014_546336-012-06,012,6,1781776815259905500,143,1
20260618_170014_546336,20260618_170014_546336-012-07,012,7,1781776815266398400,144,1
20260618_170014_546336,20260618_170014_546336-012-08,012,8,1781776815272470600,145,1
20260618_170014_546336,20260618_170014_546336-012-09,012,9,1781776815278984100,144,1
20260618_170014_546336,20260618_170014_546336-012-10,012,10,1781776815284893800,143,1
20260618_170014_546336,20260618_170014_546336-013-01,013,1,1781776815290981300,144,1
20260618_170014_546336,20260618_170014_546336-013-02,013,2,1781776815297178900,142,1
20260618_170014_546336,20260618_170014_546336-013-03,013,3,1781776815302947300,145,1
20260618_170014_546336,20260618_170014_546336-013-04,013,4,1781776815308826500,142,1
20260618_170014_546336,20260618_170014_546336-013-05,013,5,1781776815314766300,145,1
20260618_170014_546336,20260618_170014_546336-013-06,013,6,1781776815320702800,143,1
20260618_170014_546336,20260618_170014_546336-013-07,013,7,1781776815326141400,144,1
20260618_170014_546336,20260618_170014_546336-013-08,013,8,1781776815332002700,145,1
20260618_170014_546336,20260618_170014_546336-013-09,013,9,1781776815337677700,143,1
20260618_170014_546336,20260618_170014_546336-013-10,013,10,1781776815343626100,144,1
20260618_170014_546336,20260618_170014_546336-014-01,014,1,1781776815349971100,143,1
20260618_170014_546336,20260618_170014_546336-014-02,014,2,1781776815356185300,144,1
20260618_170014_546336,20260618_170014_546336-014-03,014,3,1781776815362204300,142,1
20260618_170014_546336,20260618_170014_546336-014-04,014,4,1781776815368025300,144,1
20260618_170014_546336,20260618_170014_546336-014-05,014,5,1781776815373932000,144,1
20260618_170014_546336,20260618_170014_546336-014-06,014,6,1781776815380318400,145,1
20260618_170014_546336,20260618_170014_546336-014-07,014,7,1781776815386425000,145,1
20260618_170014_546336,20260618_170014_546336-014-08,014,8,1781776815392410900,144,1
20260618_170014_546336,20260618_170014_546336-014-09,014,9,1781776815398397900,145,1
20260618_170014_546336,20260618_170014_546336-014-10,014,10,1781776815405075400,144,1
20260618_170014_546336,20260618_170014_546336-015-01,015,1,1781776815410959800,144,1
20260618_170014_546336,20260618_170014_546336-015-02,015,2,1781776815416792200,145,1
20260618_170014_546336,20260618_170014_546336-015-03,015,3,1781776815422483100,145,1
20260618_170014_546336,20260618_170014_546336-015-04,015,4,1781776815428037600,142,1
20260618_170014_546336,20260618_170014_546336-015-05,015,5,1781776815434016300,144,1
20260618_170014_546336,20260618_170014_546336-015-06,015,6,1781776815439846700,143,1
20260618_170014_546336,20260618_170014_546336-015-07,015,7,1781776815445726900,144,1
20260618_170014_546336,20260618_170014_546336-015-08,015,8,1781776815451854400,145,1
20260618_170014_546336,20260618_170014_546336-015-09,015,9,1781776815457429700,143,1
20260618_170014_546336,20260618_170014_546336-015-10,015,10,1781776815463026900,143,1
20260618_170014_546336,20260618_170014_546336-016-01,016,1,1781776815468868200,145,1
20260618_170014_546336,20260618_170014_546336-016-02,016,2,1781776815474692000,144,1
20260618_170014_546336,20260618_170014_546336-016-03,016,3,1781776815480386500,143,1
20260618_170014_546336,20260618_170014_546336-016-04,016,4,1781776815486246400,144,1
20260618_170014_546336,20260618_170014_546336-016-05,016,5,1781776815492115400,143,1
20260618_170014_546336,20260618_170014_546336-016-06,016,6,1781776815497846100,144,1
20260618_170014_546336,20260618_170014_546336-016-07,016,7,1781776815504345100,143,1
20260618_170014_546336,20260618_170014_546336-016-08,016,8,1781776815510893600,144,1
20260618_170014_546336,20260618_170014_546336-016-09,016,9,1781776815517727900,143,1
20260618_170014_546336,20260618_170014_546336-016-10,016,10,1781776815524152400,145,1
20260618_170014_546336,20260618_170014_546336-017-01,017,1,1781776815530349200,144,1
20260618_170014_546336,20260618_170014_546336-017-02,017,2,1781776815536490000,143,1
20260618_170014_546336,20260618_170014_546336-017-03,017,3,1781776815542584100,143,1
20260618_170014_546336,20260618_170014_546336-017-04,017,4,1781776815548607200,143,1
20260618_170014_546336,20260618_170014_546336-017-05,017,5,1781776815555454800,144,1
20260618_170014_546336,20260618_170014_546336-017-06,017,6,1781776815561243500,144,1
20260618_170014_546336,20260618_170014_546336-017-07,017,7,1781776815567339400,144,1
20260618_170014_546336,20260618_170014_546336-017-08,017,8,1781776815573118900,143,1
20260618_170014_546336,20260618_170014_546336-017-09,017,9,1781776815579243500,144,1
20260618_170014_546336,20260618_170014_546336-017-10,017,10,1781776815585198500,145,1
20260618_170014_546336,20260618_170014_546336-018-01,018,1,1781776815590752300,145,1
20260618_170014_546336,20260618_170014_546336-018-02,018,2,1781776815596745600,145,1
20260618_170014_546336,20260618_170014_546336-018-03,018,3,1781776815602742400,144,1
20260618_170014_546336,20260618_170014_546336-018-04,018,4,1781776815608705100,145,1
20260618_170014_546336,20260618_170014_546336-018-05,018,5,1781776815614486000,144,1
20260618_170014_546336,20260618_170014_546336-018-06,018,6,1781776815620530300,143,1
20260618_170014_546336,20260618_170014_546336-018-07,018,7,1781776815626575900,143,1
20260618_170014_546336,20260618_170014_546336-018-08,018,8,1781776815632204100,144,1
20260618_170014_546336,20260618_170014_546336-018-09,018,9,1781776815638282500,143,1
20260618_170014_546336,20260618_170014_546336-018-10,018,10,1781776815644174300,144,1
20260618_170014_546336,20260618_170014_546336-019-01,019,1,1781776815649723000,145,1
20260618_170014_546336,20260618_170014_546336-019-02,019,2,1781776815655144500,144,1
20260618_170014_546336,20260618_170014_546336-019-03,019,3,1781776815661174100,143,1
20260618_170014_546336,20260618_170014_546336-019-04,019,4,1781776815667398500,143,1
20260618_170014_546336,20260618_170014_546336-019-05,019,5,1781776815673319400,143,1
20260618_170014_546336,20260618_170014_546336-019-06,019,6,1781776815679439000,144,1
20260618_170014_546336,20260618_170014_546336-019-07,019,7,1781776815685020800,144,1
20260618_170014_546336,20260618_170014_546336-019-08,019,8,1781776815690932900,143,1
20260618_170014_546336,20260618_170014_546336-019-09,019,9,1781776815696601600,143,1
20260618_170014_546336,20260618_170014_546336-019-10,019,10,1781776815702224100,143,1
20260618_170014_546336,20260618_170014_546336-020-01,020,1,1781776815708113400,143,1
20260618_170014_546336,20260618_170014_546336-020-02,020,2,1781776815713961000,145,1
20260618_170014_546336,20260618_170014_546336-020-03,020,3,1781776815720075100,144,1
20260618_170014_546336,20260618_170014_546336-020-04,020,4,1781776815725968400,142,1
