run_id,message_id,device_id,payload_number,send_timestamp_ns,payload_size_bytes,published_by_client
20260618_165904_542151,20260618_165904_542151-002-01,002,1,1781776744605809500,143,1
20260618_165904_542151,20260618_165904_542151-002-02,002,2,1781776744611970500,143,1
20260618_165904_542151,20260618_165904_542151-003-01,003,1,1781776744617542900,144,1
20260618_165904_542151,20260618_165904_542151-003-02,003,2,1781776744624154600,142,1
20260618_165904_542151,20260618_165904_542151-004-01,004,1,1781776744630123600,144,1
20260618_165904_542151,20260618_165904_542151-004-02,004,2,1781776744636105500,144,1
20260618_165904_542151,20260618_165904_542151-005-01,005,1,1781776744641621900,145,1
20260618_165904_542151,20260618_165904_542151-005-02,005,2,1781776744647729400,145,1
20260618_165904_542151,20260618_165904_542151-006-01,006,1,1781776744653937300,145,1
20260618_165904_542151,20260618_165904_542151-006-02,006,2,1781776744659693500,145,1
20260618_165904_542151,20260618_165904_542151-007-01,007,1,1781776744665963300,143,1
20260618_165904_542151,20260618_165904_542151-007-02,007,2,1781776744671832700,144,1
20260618_165904_542151,20260618_165904_542151-008-01,008,1,1781776744677676600,143,1
20260618_165904_542151,20260618_165904_542151-008-02,008,2,1781776744683572400,144,1
20260618_165904_542151,20260618_165904_542151-009-01,009,1,1781776744689219400,144,1
20260618_165904_542151,20260618_165904_542151-009-02,009,2,1781776744694845300,143,1
20260618_165904_542151,20260618_165904_542151-010-01,010,1,1781776744700886600,144,1
20260618_165904_542151,20260618_165904_542151-010-02,010,2,1781776744706883800,144,1
20260618_165904_542151,20260618_165904_542151-011-01,011,1,1781776744712453400,144,1
20260618_165904_542151,20260618_165904_542151-011-02,011,2,1781776744718357100,144,1
20260618_165904_542151,20260618_165904_542151-012-01,012,1,1781776744724365400,145,1
20260618_165904_542151,20260618_165904_542151-012-02,012,2,1781776744730406500,145,1
20260618_165904_542151,20260618_165904_542151-013-01,013,1,1781776744736310700,145,1
20260618_165904_542151,20260618_165904_542151-013-02,013,2,1781776744742959900,144,1
20260618_165904_542151,20260618_165904_542151-014-01,014,1,1781776744749657000,145,1
20260618_165904_542151,20260618_165904_542151-014-02,014,2,1781776744755648900,145,1
20260618_165904_542151,20260618_165904_542151-015-01,015,1,1781776744761415100,143,1
20260618_165904_542151,20260618_165904_542151-015-02,015,2,1781776744767012400,145,1
