run_id,message_id,device_id,payload_number,send_timestamp_ns,payload_size_bytes,published_by_client
20260618_170055_592739,20260618_170055_592739-002-01,002,1,1781776855654410300,141,1
20260618_170055_592739,20260618_170055_592739-002-02,002,2,1781776855662046200,145,1
20260618_170055_592739,20260618_170055_592739-002-03,002,3,1781776855668679700,143,1
20260618_170055_592739,20260618_170055_592739-002-04,002,4,1781776855675149200,144,1
20260618_170055_592739,20260618_170055_592739-002-05,002,5,1781776855681484000,142,1
20260618_170055_592739,20260618_170055_592739-002-06,002,6,1781776855687909200,145,1
20260618_170055_592739,20260618_170055_592739-002-07,002,7,1781776855695090400,144,1
20260618_170055_592739,20260618_170055_592739-002-08,002,8,1781776855702623200,145,1
20260618_170055_592739,20260618_170055_592739-002-09,002,9,1781776855708882600,145,1
20260618_170055_592739,20260618_170055_592739-002-10,002,10,1781776855715347900,144,1
20260618_170055_592739,20260618_170055_592739-002-11,002,11,1781776855722046500,142,1
20260618_170055_592739,20260618_170055_592739-002-12,002,12,1781776855728583200,145,1
20260618_170055_592739,20260618_170055_592739-002-13,002,13,1781776855735622700,144,1
20260618_170055_592739,20260618_170055_592739-002-14,002,14,1781776855742325700,143,1
20260618_170055_592739,20260618_170055_592739-002-15,002,15,1781776855748702300,145,1
20260618_170055_592739,20260618_170055_592739-002-16,002,16,1781776855755334000,143,1
20260618_170055_592739,20260618_170055_592739-002-17,002,17,1781776855761830300,145,1
20260618_170055_592739,20260618_170055_592739-002-18,002,18,1781776855767429000,144,1
20260618_170055_592739,20260618_170055_592739-002-19,002,19,1781776855773792700,144,1
20260618_170055_592739,20260618_170055_592739-002-20,002,20,1781776855780011800,144,1
20260618_170055_592739,20260618_170055_592739-003-01,003,1,1781776855785987800,143,1
20260618_170055_592739,20260618_170055_592739-003-02,003,2,1781776855792236300,142,1
20260618_170055_592739,20260618_170055_592739-003-03,003,3,1781776855798130900,143,1
20260618_170055_592739,20260618_170055_592739-003-04,003,4,1781776855804152800,145,1
20260618_170055_592739,20260618_170055_592739-003-05,003,5,1781776855809877100,143,1
20260618_170055_592739,20260618_170055_592739-003-06,003,6,1781776855815829100,144,1
20260618_170055_592739,20260618_170055_592739-003-07,003,7,1781776855821681600,145,1
20260618_170055_592739,20260618_170055_592739-003-08,003,8,1781776855828007500,145,1
20260618_170055_592739,20260618_170055_592739-003-09,003,9,1781776855834180600,145,1
20260618_170055_592739,20260618_170055_592739-003-10,003,10,1781776855840046400,145,1
20260618_170055_592739,20260618_170055_592739-003-11,003,11,1781776855845614500,143,1
20260618_170055_592739,20260618_170055_592739-003-12,003,12,1781776855851391700,144,1
20260618_170055_592739,20260618_170055_592739-003-13,003,13,1781776855857080800,144,1
20260618_170055_592739,20260618_170055_592739-003-14,003,14,1781776855863114700,144,1
20260618_170055_592739,20260618_170055_592739-003-15,003,15,1781776855869160300,144,1
20260618_170055_592739,20260618_170055_592739-003-16,003,16,1781776855875015300,144,1
20260618_170055_592739,20260618_170055_592739-003-17,003,17,1781776855881419300,144,1
20260618_170055_592739,20260618_170055_592739-003-18,003,18,1781776855887625700,143,1
20260618_170055_592739,20260618_170055_592739-003-19,003,19,1781776855893706800,144,1
20260618_170055_592739,20260618_170055_592739-003-20,003,20,1781776855899914000,143,1
20260618_170055_592739,20260618_170055_592739-004-01,004,1,1781776855906519900,144,1
20260618_170055_592739,20260618_170055_592739-004-02,004,2,1781776855912366000,143,1
20260618_170055_592739,20260618_170055_592739-004-03,004,3,1781776855918470500,143,1
20260618_170055_592739,20260618_170055_592739-004-04,004,4,1781776855924588700,143,1
20260618_170055_592739,20260618_170055_592739-004-05,004,5,1781776855930337600,144,1
20260618_170055_592739,20260618_170055_592739-004-06,004,6,1781776855936127900,145,1
20260618_170055_592739,20260618_170055_592739-004-07,004,7,1781776855941870700,144,1
20260618_170055_592739,20260618_170055_592739-004-08,004,8,1781776855947463800,143,1
20260618_170055_592739,20260618_170055_592739-004-09,004,9,1781776855953256600,145,1
20260618_170055_592739,20260618_170055_592739-004-10,004,10,1781776855959122900,144,1
20260618_170055_592739,20260618_170055_592739-004-11,004,11,1781776855964854900,143,1
20260618_170055_592739,20260618_170055_592739-004-12,004,12,1781776855970765400,145,1
20260618_170055_592739,20260618_170055_592739-004-13,004,13,1781776855977349600,144,1
20260618_170055_592739,20260618_170055_592739-004-14,004,14,1781776855983383600,145,1
20260618_170055_592739,20260618_170055_592739-004-15,004,15,1781776855989670900,142,1
20260618_170055_592739,20260618_170055_592739-004-16,004,16,1781776855995396400,144,1
20260618_170055_592739,20260618_170055_592739-004-17,004,17,1781776856001163500,145,1
20260618_170055_592739,20260618_170055_592739-004-18,004,18,1781776856007206800,144,1
20260618_170055_592739,20260618_170055_592739-004-19,004,19,1781776856012816900,145,1
20260618_170055_592739,20260618_170055_592739-004-20,004,20,1781776856019390200,144,1
20260618_170055_592739,20260618_170055_592739-005-01,005,1,1781776856026246200,144,1
20260618_170055_592739,20260618_170055_592739-005-02,005,2,1781776856032411000,143,1
20260618_170055_592739,20260618_170055_592739-005-03,005,3,1781776856040341400,145,1
20260618_170055_592739,20260618_170055_592739-005-04,005,4,1781776856046585100,145,1
20260618_170055_592739,20260618_170055_592739-005-05,005,5,1781776856052786400,144,1
20260618_170055_592739,20260618_170055_592739-005-06,005,6,1781776856058495100,143,1
20260618_170055_592739,20260618_170055_592739-005-07,005,7,1781776856064346700,145,1
20260618_170055_592739,20260618_170055_592739-005-08,005,8,1781776856070501800,144,1
20260618_170055_592739,20260618_170055_592739-005-09,005,9,1781776856076687300,144,1
20260618_170055_592739,20260618_170055_592739-005-10,005,10,1781776856082623200,143,1
20260618_170055_592739,20260618_170055_592739-005-11,005,11,1781776856088369400,144,1
20260618_170055_592739,20260618_170055_592739-005-12,005,12,1781776856094816200,145,1
20260618_170055_592739,20260618_170055_592739-005-13,005,13,1781776856101532000,145,1
20260618_170055_592739,20260618_170055_592739-005-14,005,14,1781776856107660000,143,1
20260618_170055_592739,20260618_170055_592739-005-15,005,15,1781776856113548500,145,1
20260618_170055_592739,20260618_170055_592739-005-16,005,16,1781776856119578600,145,1
20260618_170055_592739,20260618_170055_592739-005-17,005,17,1781776856125677700,145,1
20260618_170055_592739,20260618_170055_592739-005-18,005,18,1781776856131736500,144,1
20260618_170055_592739,20260618_170055_592739-005-19,005,19,1781776856137412400,144,1
20260618_170055_592739,20260618_170055_592739-005-20,005,20,1781776856143466300,145,1
20260618_170055_592739,20260618_170055_592739-006-01,006,1,1781776856149132300,144,1
20260618_170055_592739,20260618_170055_592739-006-02,006,2,1781776856154973200,145,1
20260618_170055_592739,20260618_170055_592739-006-03,006,3,1781776856161040400,144,1
20260618_170055_592739,20260618_170055_592739-006-04,006,4,1781776856166624600,142,1
20260618_170055_592739,20260618_170055_592739-006-05,006,5,1781776856172860700,144,1
